"numcas"                                             ;"nomsa"                                 ;"classref"                                                           ;"classdate" ;"classcatdanger"                                                                                            ;"classcodeh" ;"classmentiondanger"                                                                                       ;"facteurmvaleur" ;"facteurmorigine" ;"facteurmdate"
"400882-07-7"                                        ;"cyflumetofene"                          ;"Reglement (UE) Ne2020/217 (14e ATP au Reglement 1272/2008)"                     ;04/10/19          ;"Cancerogenicite, categorie 2"                                                                                           ;"H351"              ;"Susceptible de provoquer le cancer"                                                                              ;                   ;""                  ;
"400882-07-7"                                        ;"cyflumetofene"                          ;"Reglement (UE) Ne2020/217 (14e ATP au Reglement 1272/2008)"                     ;04/10/19          ;"Sensibilisation cutanee, categorie 1A"                                                                                  ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"122008-85-9"                                        ;"cyhalofop butyl"                        ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;29/09/10          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;1                  ;"ANSES"             ;19/06/12
"122008-85-9"                                        ;"cyhalofop butyl"                        ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;29/09/10          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;                   ;"ANSES"             ;19/06/12
"57966-95-7"                                         ;"cymoxanil"                              ;"Reglement (UE) Ne605/2014 (6e ATP au Reglement 1272/2008)"                      ;05/06/14          ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"57966-95-7"                                         ;"cymoxanil"                              ;"Reglement (UE) Ne605/2014 (6e ATP au Reglement 1272/2008)"                      ;05/06/14          ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"57966-95-7"                                         ;"cymoxanil"                              ;"Reglement (UE) Ne605/2014 (6e ATP au Reglement 1272/2008)"                      ;05/06/14          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;1                  ;"UE"                ;05/06/14
"57966-95-7"                                         ;"cymoxanil"                              ;"Reglement (UE) Ne605/2014 (6e ATP au Reglement 1272/2008)"                      ;05/06/14          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;1                  ;"UE"                ;05/06/14
"57966-95-7"                                         ;"cymoxanil"                              ;"Reglement (UE) Ne605/2014 (6e ATP au Reglement 1272/2008)"                      ;05/06/14          ;"Toxicite pour la reproduction, categorie 2(fd)"                                                                         ;"H361fd"            ;"Susceptible de nuire  la fertilite. Susceptible de nuire au foetus"                                             ;                   ;""                  ;
"57966-95-7"                                         ;"cymoxanil"                              ;"Reglement (UE) Ne605/2014 (6e ATP au Reglement 1272/2008)"                      ;05/06/14          ;"Toxicite specifique pour certains organes cibles - Exposition repetee, categorie 2"                                     ;"H373"              ;"Risque presume d'effets graves pour les organes  la suite d'expositions repetees ou d'une exposition prolongee" ;                   ;""                  ;
"52315-07-8"                                         ;"cypermethrine"                          ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Toxicite aigue (par inhalation), categorie 4"                                                                           ;"H332"              ;"Nocif par inhalation"                                                                                            ;                   ;""                  ;
"52315-07-8"                                         ;"cypermethrine"                          ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"52315-07-8"                                         ;"cypermethrine"                          ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Toxicite specifique pour certains organes cibles - Exposition unique - Irritation des voies respiratoires, categorie 3" ;"H335"              ;"Peut irriter les voies respiratoires"                                                                            ;                   ;""                  ;
"52315-07-8"                                         ;"cypermethrine"                          ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;100                ;"ANSES"             ;25/03/19
"52315-07-8"                                         ;"cypermethrine"                          ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;1000               ;"ANSES"             ;25/03/19
"94361-06-5"                                         ;"cyproconazole"                          ;"Reglement (UE) Ne2017/776 (10e ATP au Reglement 1272/2008)"                     ;04/05/17          ;"Toxicite specifique pour certains organes cibles - Exposition repetee, categorie 2"                                     ;"H373"              ;"Risque presume d'effets graves pour les organes  la suite d'expositions repetees ou d'une exposition prolongee" ;                   ;""                  ;
"94361-06-5"                                         ;"cyproconazole"                          ;"Reglement (UE) Ne2017/776 (10e ATP au Reglement 1272/2008)"                     ;04/05/17          ;"Toxicite pour la reproduction, categorie 1B(D)"                                                                         ;"H360D"             ;"Peut nuire au foetus"                                                                                            ;                   ;""                  ;
"94361-06-5"                                         ;"cyproconazole"                          ;"Reglement (UE) Ne2017/776 (10e ATP au Reglement 1272/2008)"                     ;04/05/17          ;"Toxicite aigue (par voie orale), categorie 3"                                                                           ;"H301"              ;"Toxique en cas d'ingestion"                                                                                      ;                   ;""                  ;
"94361-06-5"                                         ;"cyproconazole"                          ;"Reglement (UE) Ne2017/776 (10e ATP au Reglement 1272/2008)"                     ;04/05/17          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;1                  ;"UE"                ;04/05/17
"94361-06-5"                                         ;"cyproconazole"                          ;"Reglement (UE) Ne2017/776 (10e ATP au Reglement 1272/2008)"                     ;04/05/17          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;10                 ;"UE"                ;04/05/17
"121552-61-2"                                        ;"cyprodinil"                             ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"121552-61-2"                                        ;"cyprodinil"                             ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10                 ;"ANSES"             ;19/11/13
"121552-61-2"                                        ;"cyprodinil"                             ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;10                 ;"ANSES"             ;19/11/13
"221667-31-8"                                        ;"cyprosulfamide"                         ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;28/04/11          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 3"                                                       ;"H412"              ;"Nocif pour les organismes aquatiques, entraine des effets nefastes  long terme"                                 ;                   ;""                  ;
"221667-31-8"                                        ;"cyprosulfamide"                         ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;28/04/11          ;"Cancerogenicite, categorie 2"                                                                                           ;"H351"              ;"Susceptible de provoquer le cancer"                                                                              ;                   ;""                  ;
"66215-27-8"                                         ;"cyromazine"                             ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Sans classement"                                                                                                        ;"Sans classement"   ;"Sans classement"                                                                                                 ;                   ;""                  ;
"1596-84-5"                                          ;"daminozide"                             ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;09/07/14          ;"Sans classement"                                                                                                        ;"Sans classement"   ;"Sans classement"                                                                                                 ;                   ;""                  ;
"533-74-4"                                           ;"dazomet"                                ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"533-74-4"                                           ;"dazomet"                                ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;                   ;""                  ;
"533-74-4"                                           ;"dazomet"                                ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;                   ;""                  ;
"533-74-4"                                           ;"dazomet"                                ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Irritation oculaire, categorie 2"                                                                                       ;"H319"              ;"Provoque une severe irritation des yeux"                                                                         ;                   ;""                  ;
"52918-63-5"                                         ;"deltamethrine"                          ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Toxicite aigue (par inhalation), categorie 3"                                                                           ;"H331"              ;"Toxique par inhalation"                                                                                          ;                   ;""                  ;
"52918-63-5"                                         ;"deltamethrine"                          ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Toxicite aigue (par voie orale), categorie 3"                                                                           ;"H301"              ;"Toxique en cas d'ingestion"                                                                                      ;                   ;""                  ;
"52918-63-5"                                         ;"deltamethrine"                          ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;1000000            ;"ANSES"             ;19/03/13
"52918-63-5"                                         ;"deltamethrine"                          ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;1000000            ;"ANSES"             ;19/03/13
"1918-00-9"                                          ;"dicamba"                                ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 3"                                                       ;"H412"              ;"Nocif pour les organismes aquatiques, entraine des effets nefastes  long terme"                                 ;                   ;""                  ;
"1918-00-9"                                          ;"dicamba"                                ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"1918-00-9"                                          ;"dicamba"                                ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Lesions oculaires graves, categorie 1"                                                                                  ;"H318"              ;"Provoque des lesions oculaires graves"                                                                           ;                   ;""                  ;
"15165-67-0"                                         ;"dichlorprop-P"                          ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;31/12/08          ;"Lesions oculaires graves, categorie 1"                                                                                  ;"H318"              ;"Provoque des lesions oculaires graves"                                                                           ;                   ;""                  ;
"15165-67-0"                                         ;"dichlorprop-P"                          ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;31/12/08          ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"15165-67-0"                                         ;"dichlorprop-P"                          ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;31/12/08          ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"15165-67-0"                                         ;"dichlorprop-P"                          ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;31/12/08          ;"Irritant pour la peau, categorie 2"                                                                                     ;"H315"              ;"Provoque une irritation cutanee"                                                                                 ;                   ;""                  ;
"257-141-8"                                          ;"diclofop methyl"                        ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;1                  ;"ANSES"             ;17/09/13
"257-141-8"                                          ;"diclofop methyl"                        ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"257-141-8"                                          ;"diclofop methyl"                        ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"257-141-8"                                          ;"diclofop methyl"                        ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;1                  ;"ANSES"             ;17/09/13
"119446-68-3"                                        ;"difenoconazole"                         ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;24/01/17          ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"119446-68-3"                                        ;"difenoconazole"                         ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;24/01/17          ;"Irritation oculaire, categorie 2"                                                                                       ;"H319"              ;"Provoque une severe irritation des yeux"                                                                         ;                   ;""                  ;
"119446-68-3"                                        ;"difenoconazole"                         ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;24/01/17          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10                 ;"ANSES"             ;21/12/12
"119446-68-3"                                        ;"difenoconazole"                         ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;24/01/17          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;1                  ;"ANSES"             ;21/12/12
"35367-38-5"                                         ;"diflubenzuron"                          ;"	Classement adapte par leANSES selon les regles de traduction du reglement CLP" ;19/03/19          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;1000               ;"ANSES"             ;23/04/19
"35367-38-5"                                         ;"diflubenzuron"                          ;"	Classement adapte par leANSES selon les regles de traduction du reglement CLP" ;19/03/19          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;100                ;"ANSES"             ;23/04/19
"83164-33-4"                                         ;"diflufenican"                           ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 3"                                                       ;"H412"              ;"Nocif pour les organismes aquatiques, entraine des effets nefastes  long terme"                                 ;                   ;""                  ;
"50563-36-5"                                         ;"dimethachlore"                          ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;10                 ;"ANSES"             ;18/09/12
"50563-36-5"                                         ;"dimethachlore"                          ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"50563-36-5"                                         ;"dimethachlore"                          ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10                 ;"ANSES"             ;18/09/12
"50563-36-5"                                         ;"dimethachlore"                          ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"163515-14-8"                                        ;"Dimethenamid-P"                         ;"Reglement (UE) Ne2015/1221 (7e ATP au Reglement 1272/2008)"                     ;24/07/15          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;10                 ;"UE"                ;17/07/12
"163515-14-8"                                        ;"Dimethenamid-P"                         ;"Reglement (UE) Ne2015/1221 (7e ATP au Reglement 1272/2008)"                     ;24/07/15          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10                 ;"UE"                ;17/07/12
"163515-14-8"                                        ;"Dimethenamid-P"                         ;"Reglement (UE) Ne2015/1221 (7e ATP au Reglement 1272/2008)"                     ;24/07/15          ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"163515-14-8"                                        ;"Dimethenamid-P"                         ;"Reglement (UE) Ne2015/1221 (7e ATP au Reglement 1272/2008)"                     ;24/07/15          ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"110488-70-5"                                        ;"dimethomorphe"                          ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 2"                                                       ;"H411"              ;"Toxique pour les organismes aquatiques, entraene des effets  long terme"                                        ;                   ;""                  ;
"149961-52-4"                                        ;"dimoxystrobine"                         ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Toxicite aigue (par inhalation), categorie 4"                                                                           ;"H332"              ;"Nocif par inhalation"                                                                                            ;                   ;""                  ;
"149961-52-4"                                        ;"dimoxystrobine"                         ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Cancerogenicite, categorie 2"                                                                                           ;"H351"              ;"Susceptible de provoquer le cancer"                                                                              ;                   ;""                  ;
"149961-52-4"                                        ;"dimoxystrobine"                         ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;10                 ;"UE"                ;10/08/09
"149961-52-4"                                        ;"dimoxystrobine"                         ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;                   ;"UE"                ;10/08/09
"149961-52-4"                                        ;"dimoxystrobine"                         ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Toxicite pour la reproduction, categorie 2(d)"                                                                          ;"H361d"             ;"Susceptible de nuire au foetus"                                                                                  ;                   ;""                  ;
"13708-85-5 ou (130184-07-5 ou 16926-95-7)"          ;"disodium phosphanate"                   ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;15/07/09          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 3"                                                       ;"H412"              ;"Nocif pour les organismes aquatiques, entraine des effets nefastes  long terme"                                 ;                   ;""                  ;
"3347-22-6"                                          ;"dithianon"                              ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;10                 ;"ANSES"             ;16/04/13
"3347-22-6"                                          ;"dithianon"                              ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"3347-22-6"                                          ;"dithianon"                              ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;1                  ;"ANSES"             ;16/04/13
"2439-10-3�"                                         ;"doguadine"                              ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"2439-10-3�"                                         ;"doguadine"                              ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Irritation oculaire, categorie 2"                                                                                       ;"H319"              ;"Provoque une severe irritation des yeux"                                                                         ;                   ;""                  ;
"2439-10-3�"                                         ;"doguadine"                              ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;                   ;""                  ;
"2439-10-3�"                                         ;"doguadine"                              ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;                   ;""                  ;
"2439-10-3�"                                         ;"doguadine"                              ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Irritant pour la peau, categorie 2"                                                                                     ;"H315"              ;"Provoque une irritation cutanee"                                                                                 ;                   ;""                  ;
"155569-91-8"                                        ;"emamectine benzoate"                    ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;22/09/20          ;"Toxicite specifique pour certains organes cibles - Exposition unique, categorie 1"                                      ;"H370"              ;"Risque avere d'effets graves pour les organes"                                                                   ;                   ;""                  ;
"155569-91-8"                                        ;"emamectine benzoate"                    ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;22/09/20          ;"Toxicite specifique pour certains organes cibles - Exposition repetee, categorie 1"                                     ;"H372"              ;"Risque avere d'effet graves pour les organes  la suite d'expositions repetees ou d'une exposition prolongee"    ;                   ;""                  ;
"155569-91-8"                                        ;"emamectine benzoate"                    ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;22/09/20          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;10000              ;"ANSES"             ;22/09/20
"155569-91-8"                                        ;"emamectine benzoate"                    ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;22/09/20          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10000              ;"ANSES"             ;22/09/20
"155569-91-8"                                        ;"emamectine benzoate"                    ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;22/09/20          ;"Lesions oculaires graves, categorie 1"                                                                                  ;"H318"              ;"Provoque des lesions oculaires graves"                                                                           ;                   ;""                  ;
"155569-91-8"                                        ;"emamectine benzoate"                    ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;22/09/20          ;"Toxicite aigue (par inhalation), categorie 3"                                                                           ;"H331"              ;"Toxique par inhalation"                                                                                          ;                   ;""                  ;
"155569-91-8"                                        ;"emamectine benzoate"                    ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;22/09/20          ;"Toxicite aigue (par voie cutanee), categorie 3"                                                                         ;"H311"              ;"Toxique par contact cutane"                                                                                      ;                   ;""                  ;
"155569-91-8"                                        ;"emamectine benzoate"                    ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;22/09/20          ;"Toxicite aigue (par voie orale), categorie 3"                                                                           ;"H301"              ;"Toxique en cas d'ingestion"                                                                                      ;                   ;""                  ;
"66230-04-4"                                         ;"esfenvalerate"                          ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"66230-04-4"                                         ;"esfenvalerate"                          ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Toxicite aigue (par voie orale), categorie 3"                                                                           ;"H301"              ;"Toxique en cas d'ingestion"                                                                                      ;                   ;""                  ;
"66230-04-4"                                         ;"esfenvalerate"                          ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Toxicite aigue (par inhalation), categorie 3"                                                                           ;"H331"              ;"Toxique par inhalation"                                                                                          ;                   ;""                  ;
"66230-04-4"                                         ;"esfenvalerate"                          ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10000              ;"UE"                ;07/08/13
"66230-04-4"                                         ;"esfenvalerate"                          ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;10000              ;"UE"                ;07/08/13
"16672-87-0"                                         ;"ethephon"                               ;"Reglement (UE) Ne605/2014 (6e ATP au Reglement 1272/2008)"                      ;05/06/14          ;"Toxicite aigue (par voie cutanee), categorie 3"                                                                         ;"H311"              ;"Toxique par contact cutane"                                                                                      ;                   ;""                  ;
