"numcas"                                         ;"nomsa"                                 ;"natureetude"         ;"DL50/CL50" ;"valeur"         ;"unite" ;"espece"  ;"sexe"
"120116-88-3"                                        ;"cyazofamid"                             ;"Toxicite aigue inhalation" ;"CL50"      ;">5.5"           ;"mg/L"  ;"rat"     ;"MF"
"120116-88-3"                                        ;"cyazofamid"                             ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;"MF"
"101205-02-1"                                        ;"cycloxidime"                            ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"MF"
"101205-02-1"                                        ;"cycloxidime"                            ;"Toxicite aigue inhalation" ;"CL50"      ;"> 5.28"         ;"mg/L"  ;"rat"     ;"MF"
"101205-02-1"                                        ;"cycloxidime"                            ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"souris"  ;"MF"
"101205-02-1"                                        ;"cycloxidime"                            ;"Toxicite aigue VO"         ;"DL50"      ;"4420"           ;"mg/kg" ;"rat"     ;"M"
"101205-02-1"                                        ;"cycloxidime"                            ;"Toxicite aigue VO"         ;"DL50"      ;"3830"           ;"mg/kg" ;"rat"     ;"F"
"400882-07-7"                                        ;"cyflumetofene"                          ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"400882-07-7"                                        ;"cyflumetofene"                          ;"Toxicite aigue inhalation" ;"CL50"      ;"> 2,65"         ;"mg/L"  ;"rat"     ;"MF"
"400882-07-7"                                        ;"cyflumetofene"                          ;"Toxicite aigue VO"         ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"F"
"122008-85-9"                                        ;"cyhalofop butyl"                        ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"122008-85-9"                                        ;"cyhalofop butyl"                        ;"Toxicite aigue inhalation" ;"CL50"      ;"> 5.63"         ;"mg/L"  ;"rat"     ;"MF"
"122008-85-9"                                        ;"cyhalofop butyl"                        ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"souris"  ;"MF"
"122008-85-9"                                        ;"cyhalofop butyl"                        ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"57966-95-7"                                         ;"cymoxanil"                              ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"57966-95-7"                                         ;"cymoxanil"                              ;"Toxicite aigue inhalation" ;"CL50"      ;">5.6"           ;"mg/L"  ;"rat"     ;"MF"
"57966-95-7"                                         ;"cymoxanil"                              ;"Toxicite aigue VO"         ;"DL50"      ;"960"            ;"mg/kg" ;"rat"     ;"MF"
"52315-07-8"                                         ;"cypermethrine"                          ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;""
"52315-07-8"                                         ;"cypermethrine"                          ;"Toxicite aigue inhalation" ;"CL50"      ;"3.28"           ;"mg/L"  ;"rat"     ;""
"52315-07-8"                                         ;"cypermethrine"                          ;"Toxicite aigue VO"         ;"DL50"      ;"287"            ;"mg/kg" ;"rat"     ;""
"94361-06-5"                                         ;"cyproconazole"                          ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"lapin"   ;"MF"
"94361-06-5"                                         ;"cyproconazole"                          ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"94361-06-5"                                         ;"cyproconazole"                          ;"Toxicite aigue inhalation" ;"CL50"      ;">5.47"          ;"mg/L"  ;"rat"     ;"MF"
"94361-06-5"                                         ;"cyproconazole"                          ;"Toxicite aigue VO"         ;"DL50"      ;"270"            ;"mg/kg" ;"souris"  ;"M"
"94361-06-5"                                         ;"cyproconazole"                          ;"Toxicite aigue VO"         ;"DL50"      ;"218"            ;"mg/kg" ;"souris"  ;"F"
"94361-06-5"                                         ;"cyproconazole"                          ;"Toxicite aigue VO"         ;"DL50"      ;"460"            ;"mg/kg" ;"lapin"   ;"F"
"94361-06-5"                                         ;"cyproconazole"                          ;"Toxicite aigue VO"         ;"DL50"      ;"200"            ;"mg/kg" ;"souris"  ;"M"
"94361-06-5"                                         ;"cyproconazole"                          ;"Toxicite aigue VO"         ;"DL50"      ;"350"            ;"mg/kg" ;"rat"     ;""
"121552-61-2"                                        ;"cyprodinil"                             ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"121552-61-2"                                        ;"cyprodinil"                             ;"Toxicite aigue inhalation" ;"CL50"      ;">1.203"         ;"mg/L"  ;"rat"     ;"MF"
"121552-61-2"                                        ;"cyprodinil"                             ;"Toxicite aigue VO"         ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"221667-31-8"                                        ;"cyprosulfamide"                         ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"MF"
"221667-31-8"                                        ;"cyprosulfamide"                         ;"Toxicite aigue inhalation" ;"CL50"      ;"> 3.513"        ;"mg/L"  ;"rat"     ;"MF"
"221667-31-8"                                        ;"cyprosulfamide"                         ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"F"
"66215-27-8"                                         ;"cyromazine"                             ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 3100"         ;"mg/kg" ;"rat"     ;"MF"
"66215-27-8"                                         ;"cyromazine"                             ;"Toxicite aigue inhalation" ;"CL50"      ;"> 3,6"          ;"mg/L"  ;"rat"     ;"MF"
"66215-27-8"                                         ;"cyromazine"                             ;"Toxicite aigue VO"         ;"DL50"      ;"3387"           ;"mg/kg" ;"rat"     ;"MF"
"1596-84-5"                                          ;"daminozide"                             ;"Toxicite aigue cutanee"    ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;""
"1596-84-5"                                          ;"daminozide"                             ;"Toxicite aigue inhalation" ;"CL50"      ;">2.1"           ;"mg/L"  ;"rat"     ;""
"1596-84-5"                                          ;"daminozide"                             ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;""
"533-74-4"                                           ;"dazomet"                                ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"MF"
"533-74-4"                                           ;"dazomet"                                ;"Toxicite aigue inhalation" ;"CL50"      ;"7.29"           ;"mg/L"  ;"rat"     ;"F"
"533-74-4"                                           ;"dazomet"                                ;"Toxicite aigue inhalation" ;"CL50"      ;"> 8.40"         ;"mg/L"  ;"rat"     ;"M"
"533-74-4"                                           ;"dazomet"                                ;"Toxicite aigue VO"         ;"DL50"      ;"415"            ;"mg/kg" ;"rat"     ;"F"
"533-74-4"                                           ;"dazomet"                                ;"Toxicite aigue VO"         ;"DL50"      ;"596"            ;"mg/kg" ;"rat"     ;"M"
"52918-63-5"                                         ;"deltamethrine"                          ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;""
"52918-63-5"                                         ;"deltamethrine"                          ;"Toxicite aigue inhalation" ;"CL50"      ;"0.6"            ;"mg/L"  ;"rat"     ;""
"52918-63-5"                                         ;"deltamethrine"                          ;"Toxicite aigue VO"         ;"DL50"      ;"87"             ;"mg/kg" ;"rat"     ;""
"1918-00-9"                                          ;"dicamba"                                ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"lapin"   ;"MF"
"1918-00-9"                                          ;"dicamba"                                ;"Toxicite aigue inhalation" ;"CL50"      ;"4,46"           ;"mg/L"  ;"rat"     ;"MF"
"1918-00-9"                                          ;"dicamba"                                ;"Toxicite aigue VO"         ;"DL50"      ;"1581"           ;"mg/kg" ;"rat"     ;"F"
"15165-67-0"                                         ;"dichlorprop-P"                          ;"Toxicite aigue cutanee"    ;"DL50"      ;">4000"          ;"mg/kg" ;"rat"     ;""
"15165-67-0"                                         ;"dichlorprop-P"                          ;"Toxicite aigue inhalation" ;"CL50"      ;">7.4"           ;"mg/L"  ;"rat"     ;""
"15165-67-0"                                         ;"dichlorprop-P"                          ;"Toxicite aigue VO"         ;"DL50"      ;"567"            ;"mg/kg" ;"rat"     ;""
"257-141-8"                                          ;"diclofop methyl"                        ;"Toxicite aigue cutanee"    ;"DL50"      ;"200"            ;"mg/kg" ;"lapin"   ;""
"257-141-8"                                          ;"diclofop methyl"                        ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"257-141-8"                                          ;"diclofop methyl"                        ;"Toxicite aigue inhalation" ;"CL50"      ;">1.36"          ;"mg/L"  ;"rat"     ;"MF"
"257-141-8"                                          ;"diclofop methyl"                        ;"Toxicite aigue VO"         ;"DL50"      ;"> 512"          ;"mg/kg" ;"rat"     ;"MF"
"119446-68-3"                                        ;"difenoconazole"                         ;"Toxicite aigue cutanee"    ;"DL50"      ;">2010"          ;"mg/kg" ;"lapin"   ;"MF"
"119446-68-3"                                        ;"difenoconazole"                         ;"Toxicite aigue inhalation" ;"CL50"      ;"3,3"            ;"mg/L"  ;"rat"     ;"MF"
"119446-68-3"                                        ;"difenoconazole"                         ;"Toxicite aigue VO"         ;"DL50"      ;"1453"           ;"mg/kg" ;"rat"     ;"MF"
"119446-68-3"                                        ;"difenoconazole"                         ;"Toxicite aigue VO"         ;"DL50"      ;">2000"          ;"mg/kg" ;"souris"  ;""
"35367-38-5"                                         ;"diflubenzuron"                          ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"lapin"   ;"MF"
"35367-38-5"                                         ;"diflubenzuron"                          ;"Toxicite aigue inhalation" ;"CL50"      ;""               ;"mg/L"  ;"rat"     ;"MF"
"35367-38-5"                                         ;"diflubenzuron"                          ;"Toxicite aigue VO"         ;"DL50"      ;">4640"          ;"mg/kg" ;"souris"  ;"MF"
"35367-38-5"                                         ;"diflubenzuron"                          ;"Toxicite aigue VO"         ;"DL50"      ;">4640"          ;"mg/kg" ;"rat"     ;"MF"
"83164-33-4"                                         ;"diflufenican"                           ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;""
"83164-33-4"                                         ;"diflufenican"                           ;"Toxicite aigue inhalation" ;"CL50"      ;"> 5.12"         ;"mg/L"  ;"rat"     ;""
"83164-33-4"                                         ;"diflufenican"                           ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;""
"50563-36-5"                                         ;"dimethachlore"                          ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"50563-36-5"                                         ;"dimethachlore"                          ;"Toxicite aigue inhalation" ;"CL50"      ;">4.45"          ;"mg/L"  ;"rat"     ;"MF"
"50563-36-5"                                         ;"dimethachlore"                          ;"Toxicite aigue VO"         ;"DL50"      ;"1600"           ;"mg/kg" ;"rat"     ;"MF"
"163515-14-8"                                        ;"Dimethenamid-P"                         ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"163515-14-8"                                        ;"Dimethenamid-P"                         ;"Toxicite aigue inhalation" ;"CL50"      ;">2.2"           ;"mg/L"  ;"rat"     ;"MF"
"163515-14-8"                                        ;"Dimethenamid-P"                         ;"Toxicite aigue VO"         ;"DL50"      ;"371"            ;"mg/kg" ;"rat"     ;"MF"
"110488-70-5"                                        ;"dimethomorphe"                          ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"M"
"110488-70-5"                                        ;"dimethomorphe"                          ;"Toxicite aigue inhalation" ;"CL50"      ;">4.24"          ;"mg/L"  ;"rat"     ;"MF"
"110488-70-5"                                        ;"dimethomorphe"                          ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;""
"110488-70-5"                                        ;"dimethomorphe"                          ;"Toxicite aigue VO"         ;"DL50"      ;"4472"           ;"mg/kg" ;"rat"     ;""
"110488-70-5"                                        ;"dimethomorphe"                          ;"Toxicite aigue VO"         ;"DL50"      ;"3900"           ;"mg/kg" ;"rat"     ;"MF"
"149961-52-4"                                        ;"dimoxystrobine"                         ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;""
"149961-52-4"                                        ;"dimoxystrobine"                         ;"Toxicite aigue inhalation" ;"CL50"      ;"1.3"            ;"mg/L"  ;"rat"     ;""
"149961-52-4"                                        ;"dimoxystrobine"                         ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;""
"13708-85-5 ou (130184-07-5 ou 16926-95-7)"          ;"disodium phosphanate"                   ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;""
"13708-85-5 ou (130184-07-5 ou 16926-95-7)"          ;"disodium phosphanate"                   ;"Toxicite aigue inhalation" ;"CL50"      ;"> 5.9"          ;"mg/L"  ;"rat"     ;""
"13708-85-5 ou (130184-07-5 ou 16926-95-7)"          ;"disodium phosphanate"                   ;"Toxicite aigue VO"         ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;""
"3347-22-6"                                          ;"dithianon"                              ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"3347-22-6"                                          ;"dithianon"                              ;"Toxicite aigue inhalation" ;"CL50"      ;"0,31"           ;"mg/L"  ;"rat"     ;"M"
"3347-22-6"                                          ;"dithianon"                              ;"Toxicite aigue inhalation" ;"CL50"      ;"0,58"           ;"mg/L"  ;"rat"     ;"F"
"3347-22-6"                                          ;"dithianon"                              ;"Toxicite aigue VO"         ;"DL50"      ;"300"            ;"mg/kg" ;"rat"     ;"F"
"2439-10-3�"                                         ;"doguadine"                              ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"lapin"   ;""
"2439-10-3�"                                         ;"doguadine"                              ;"Toxicite aigue VO"         ;"DL50"      ;"176"            ;"mg/kg" ;"cobaye"  ;""
"2439-10-3�"                                         ;"doguadine"                              ;"Toxicite aigue VO"         ;"DL50"      ;"660"            ;"mg/kg" ;"rat"     ;"F"
"2439-10-3�"                                         ;"doguadine"                              ;"Toxicite aigue VO"         ;"DL50"      ;"535"            ;"mg/kg" ;"lapin"   ;""
"2439-10-3�"                                         ;"doguadine"                              ;"Toxicite aigue VO"         ;"DL50"      ;"266 - 1720"     ;"mg/kg" ;"souris"  ;"M"
"2439-10-3�"                                         ;"doguadine"                              ;"Toxicite aigue VO"         ;"DL50"      ;"750 - 1540"     ;"mg/kg" ;"rat"     ;"M"
"155569-91-8"                                        ;"emamectine benzoate"                    ;"Toxicite aigue cutanee"    ;"DL50"      ;"1893"           ;"mg/kg" ;"rat"     ;"F"
"155569-91-8"                                        ;"emamectine benzoate"                    ;"Toxicite aigue cutanee"    ;"DL50"      ;"300"            ;"mg/kg" ;"rat"     ;"M"
"155569-91-8"                                        ;"emamectine benzoate"                    ;"Toxicite aigue inhalation" ;"CL50"      ;"0,66"           ;"mg/L"  ;"rat"     ;"F"
"155569-91-8"                                        ;"emamectine benzoate"                    ;"Toxicite aigue inhalation" ;"CL50"      ;"1,049 - 1,981"  ;"mg/L"  ;"rat"     ;"M"
"155569-91-8"                                        ;"emamectine benzoate"                    ;"Toxicite aigue VO"         ;"DL50"      ;"60"             ;"mg/kg" ;"rat"     ;"F"
"66230-04-4"                                         ;"esfenvalerate"                          ;"Toxicite aigue cutanee"    ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;"MF"
"66230-04-4"                                         ;"esfenvalerate"                          ;"Toxicite aigue inhalation" ;"CL50"      ;"0.48 - 0.57"    ;"mg/L"  ;"rat"     ;"MF"
"66230-04-4"                                         ;"esfenvalerate"                          ;"Toxicite aigue VO"         ;"DL50"      ;"88.5"           ;"mg/kg" ;"rat"     ;"MF"
"16672-87-0"                                         ;"ethephon"                               ;"Toxicite aigue cutanee"    ;"DL50"      ;"983"            ;"mg/kg" ;"rat"     ;""
"16672-87-0"                                         ;"ethephon"                               ;"Toxicite aigue inhalation" ;"CL50"      ;"3.26"           ;"mg/L"  ;"rat"     ;""
"16672-87-0"                                         ;"ethephon"                               ;"Toxicite aigue VO"         ;"DL50"      ;"1564"           ;"mg/kg" ;"rat"     ;""
"26225-79-6"                                         ;"ethofumesate"                           ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"26225-79-6"                                         ;"ethofumesate"                           ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 20050"        ;"mg/kg" ;"lapin"   ;"MF"
"26225-79-6"                                         ;"ethofumesate"                           ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"MF"
"26225-79-6"                                         ;"ethofumesate"                           ;"Toxicite aigue inhalation" ;"CL50"      ;"> 0,16"         ;"mg/L"  ;"rat"     ;"MF"
"26225-79-6"                                         ;"ethofumesate"                           ;"Toxicite aigue VO"         ;"DL50"      ;"> 7500"         ;"mg/kg" ;"souris"  ;""
"26225-79-6"                                         ;"ethofumesate"                           ;"Toxicite aigue VO"         ;"DL50"      ;"> 7500"         ;"mg/kg" ;"rat"     ;"MF"
"26225-79-6"                                         ;"ethofumesate"                           ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"souris"  ;"MF"
"26225-79-6"                                         ;"ethofumesate"                           ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"80844-07-1"                                         ;"etofenprox"                             ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;""
"80844-07-1"                                         ;"etofenprox"                             ;"Toxicite aigue inhalation" ;"CL50"      ;"> 5.88"         ;"mg/L"  ;"rat"     ;""
"80844-07-1"                                         ;"etofenprox"                             ;"Toxicite aigue VO"         ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;""
"153233-91-1"                                        ;"etoxazole"                              ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;""
"153233-91-1"                                        ;"etoxazole"                              ;"Toxicite aigue inhalation" ;"CL50"      ;">1.09"          ;"mg/L"  ;"rat"     ;""
"153233-91-1"                                        ;"etoxazole"                              ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;""
"131807-57-3"                                        ;"famoxadone"                             ;"Toxicite aigue cutanee"    ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;"MF"
"131807-57-3"                                        ;"famoxadone"                             ;"Toxicite aigue inhalation" ;"CL50"      ;">5.3"           ;"mg/L"  ;"rat"     ;"MF"
"131807-57-3"                                        ;"famoxadone"                             ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;"MF"
"131807-57-3"                                        ;"famoxadone"                             ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"souris"  ;"MF"
"120928-09-8"                                        ;"fenazaquin"                             ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 5000"         ;"mg/kg" ;"lapin"   ;"MF"
"120928-09-8"                                        ;"fenazaquin"                             ;"Toxicite aigue inhalation" ;"CL50"      ;"1,9"            ;"mg/L"  ;"rat"     ;"MF"
"120928-09-8"                                        ;"fenazaquin"                             ;"Toxicite aigue VO"         ;"DL50"      ;"134"            ;"mg/kg" ;"rat"     ;"M"
"120928-09-8"                                        ;"fenazaquin"                             ;"Toxicite aigue VO"         ;"DL50"      ;"812"            ;"mg/kg" ;"hamster" ;"M"
"120928-09-8"                                        ;"fenazaquin"                             ;"Toxicite aigue VO"         ;"DL50"      ;"138"            ;"mg/kg" ;"rat"     ;"F"
"120928-09-8"                                        ;"fenazaquin"                             ;"Toxicite aigue VO"         ;"DL50"      ;"2449"           ;"mg/kg" ;"souris"  ;"M"
"120928-09-8"                                        ;"fenazaquin"                             ;"Toxicite aigue VO"         ;"DL50"      ;"1480"           ;"mg/kg" ;"souris"  ;"F"
"120928-09-8"                                        ;"fenazaquin"                             ;"Toxicite aigue VO"         ;"DL50"      ;"933"            ;"mg/kg" ;"hamster" ;"F"
"114369-43-6"                                        ;"fenbuconazole"                          ;"Toxicite aigue cutanee"    ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;"M"
"114369-43-6"                                        ;"fenbuconazole"                          ;"Toxicite aigue inhalation" ;"CL50"      ;">2.1"           ;"mg/L"  ;"rat"     ;"MF"
"114369-43-6"                                        ;"fenbuconazole"                          ;"Toxicite aigue VO"         ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"126833-17-8"                                        ;"fenhexamid"                             ;"Toxicite aigue cutanee"    ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;"MF"
"126833-17-8"                                        ;"fenhexamid"                             ;"Toxicite aigue inhalation" ;"CL50"      ;">5"             ;"mg/L"  ;"rat"     ;"MF"
"126833-17-8"                                        ;"fenhexamid"                             ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"souris"  ;"MF"
"126833-17-8"                                        ;"fenhexamid"                             ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;"MF"
"71283-80-2"                                         ;"fenoxaprop-P-ethyl"                     ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"71283-80-2"                                         ;"fenoxaprop-P-ethyl"                     ;"Toxicite aigue inhalation" ;"CL50"      ;">1,224"         ;"mg/L"  ;""        ;""
"71283-80-2"                                         ;"fenoxaprop-P-ethyl"                     ;"Toxicite aigue VO"         ;"DL50"      ;">3150"          ;"mg/kg" ;"rat"     ;"MF"
"79127-80-3"                                         ;"fenoxycarbe"                            ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"79127-80-3"                                         ;"fenoxycarbe"                            ;"Toxicite aigue inhalation" ;"CL50"      ;"> 4,4"          ;"mg/L"  ;"rat"     ;"MF"
"79127-80-3"                                         ;"fenoxycarbe"                            ;"Toxicite aigue VO"         ;"DL50"      ;">10000"         ;"mg/kg" ;"rat"     ;"MF"
"517875-34-2"                                        ;"fenpicoxamide"                          ;"Toxicite aigue cutanee"    ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;"MF"
"517875-34-2"                                        ;"fenpicoxamide"                          ;"Toxicite aigue inhalation" ;"CL50"      ;">0,53"          ;"mg/L"  ;"rat"     ;"MF"
"517875-34-2"                                        ;"fenpicoxamide"                          ;"Toxicite aigue VO"         ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"F"
"67306-00-7"                                         ;"fenpropidine"                           ;"Toxicite aigue cutanee"    ;"DL50"      ;">4000"          ;"mg/kg" ;"rat"     ;""
"67306-00-7"                                         ;"fenpropidine"                           ;"Toxicite aigue inhalation" ;"CL50"      ;"1.22"           ;"mg/L"  ;"rat"     ;""
"67306-00-7"                                         ;"fenpropidine"                           ;"Toxicite aigue VO"         ;"DL50"      ;"1452"           ;"mg/kg" ;"rat"     ;""
"67564-91-4"                                         ;"fenpropimorphe"                         ;"Toxicite aigue cutanee"    ;"DL50"      ;">4000"          ;"mg/kg" ;"rat"     ;""
"67564-91-4"                                         ;"fenpropimorphe"                         ;"Toxicite aigue inhalation" ;"CL50"      ;"2,9 - 9,1"      ;"mg/L"  ;"rat"     ;""
"67564-91-4"                                         ;"fenpropimorphe"                         ;"Toxicite aigue VO"         ;"DL50"      ;"1670"           ;"mg/kg" ;"rat"     ;""
"473798-59-3"                                        ;"fenpyrazamine"                          ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;""
"473798-59-3"                                        ;"fenpyrazamine"                          ;"Toxicite aigue inhalation" ;"CL50"      ;">4,84"          ;"mg/L"  ;"rat"     ;""
"473798-59-3"                                        ;"fenpyrazamine"                          ;"Toxicite aigue VO"         ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"134098-61-6"                                        ;"fenpyroximate"                          ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"134098-61-6"                                        ;"fenpyroximate"                          ;"Toxicite aigue inhalation" ;"CL50"      ;"0,21"           ;"mg/L"  ;"rat"     ;"M"
"134098-61-6"                                        ;"fenpyroximate"                          ;"Toxicite aigue inhalation" ;"CL50"      ;"0,36"           ;"mg/L"  ;"rat"     ;"F"
"134098-61-6"                                        ;"fenpyroximate"                          ;"Toxicite aigue inhalation" ;"CL50"      ;"0,33"           ;"mg/L"  ;"rat"     ;"F"
"134098-61-6"                                        ;"fenpyroximate"                          ;"Toxicite aigue inhalation" ;"CL50"      ;"0,33"           ;"mg/L"  ;"rat"     ;"M"
"134098-61-6"                                        ;"fenpyroximate"                          ;"Toxicite aigue VO"         ;"DL50"      ;"480"            ;"mg/kg" ;"rat"     ;"M"
"134098-61-6"                                        ;"fenpyroximate"                          ;"Toxicite aigue VO"         ;"DL50"      ;"520"            ;"mg/kg" ;"souris"  ;"M"
"134098-61-6"                                        ;"fenpyroximate"                          ;"Toxicite aigue VO"         ;"DL50"      ;"245"            ;"mg/kg" ;"rat"     ;"F"
"134098-61-6"                                        ;"fenpyroximate"                          ;"Toxicite aigue VO"         ;"DL50"      ;"440"            ;"mg/kg" ;"souris"  ;"F"
"N/A"                                                ;"fenugrec (extrait de )"                 ;"Toxicite aigue VO"         ;"DL50"      ;">2000"          ;"mg/kg" ;"souris"  ;""
"N/A"                                                ;"fenugrec (extrait de )"                 ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;""
"104040-78-0"                                        ;"flazasulfuron"                          ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"MF"
"104040-78-0"                                        ;"flazasulfuron"                          ;"Toxicite aigue inhalation" ;"CL50"      ;"> 5.99"         ;"mg/L"  ;"rat"     ;"MF"
"104040-78-0"                                        ;"flazasulfuron"                          ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"souris"  ;"MF"
"104040-78-0"                                        ;"flazasulfuron"                          ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"158062-67-0"                                        ;"flonicamid"                             ;"Toxicite aigue cutanee"    ;"DL50"      ;">5000"          ;"mg/kg" ;"rat"     ;"MF"
"158062-67-0"                                        ;"flonicamid"                             ;"Toxicite aigue inhalation" ;"CL50"      ;">4.9"           ;"mg/L"  ;"rat"     ;""
"158062-67-0"                                        ;"flonicamid"                             ;"Toxicite aigue VO"         ;"DL50"      ;"884"            ;"mg/kg" ;"rat"     ;"M"
"158062-67-0"                                        ;"flonicamid"                             ;"Toxicite aigue VO"         ;"DL50"      ;"1768"           ;"mg/kg" ;"rat"     ;"F"
"145701-23-1"                                        ;"florasulam"                             ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"lapin"   ;"MF"
"145701-23-1"                                        ;"florasulam"                             ;"Toxicite aigue inhalation" ;"CL50"      ;">5"             ;"mg/L"  ;"rat"     ;"MF"
"145701-23-1"                                        ;"florasulam"                             ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"souris"  ;"MF"
